range,activity,subject,raw_subject
05 e 06 de fevereiro,"Dinâmica: caça ao tesouro

A professora propõe às crianças um caça ao tesouro. Dentro do baú, as crianças encontrarão seus nomes.

Em roda, faremos uma apresentação das crianças e da professora.",LETRAMENTO,"Letramento

Participar
Conhecer
Expressar
Brincar"
05 e 06 de fevereiro,"Brincadeira: Pato Ganso

As crianças se sentam em círculo, de frente para uma outra. Um jogador é escolhido para ser o ""Ganso"" e caminha ao redor do círculo, tocando na cabeça de cada jogador e dizendo ""Pato, pato, pato"". Quando o ""Ganso"" diz ""Ganso"", a pessoa tocada deve levantar e correr atrás dele.",LETRAMENTO MATEMÁTICO,"Letramento matemático

Brincar
Participar
Explorar"
05 e 06 de fevereiro,"Música: A diferença é o que nos une – Mundo Bita

https://www.youtube.com/watch?v=eLtzvypcurE

Conversar com as crianças sobre as nossas diferenças. 

Registro do autorretrato para construção de mural: “Minha turma”.",SENTIDO RELIGIOSO,"Sentido Religioso 
Conhecer-se
Expressar
Participar"
05 e 06 de fevereiro,"História: Lulu vai à escola

Após a história, conversar sobre as expectativas para o novo ano e quais os sentimentos as crianças estão sentindo no dia.

Etiqueta: Meu primeiro dia na Vila Marista",LETRAMENTO,"Letramento

Participar
Expressar"
05 e 06 de fevereiro,"Experiência do girassol 

Realizar o plantio do girassol coletivo, trabalhando o cuidado, o tempo de espera e o novo ciclo que se inicia.",CONHECIMENTO DE MUNDO,"Conhecimento de Mundo 

Participar
Explorar"
05 e 06 de fevereiro,"Quantos somos? 

Construir um gráfico coletivo, em formato de cartaz, para colocar na sala com a quantidade de meninos e meninas da turma.",LETRAMENTO MATEMÁTICO,"Letramento Matemático 

Participar
Explorar"
09 a 13 de fevereiro,"História: O batalhão de letras - Mário Quintana

A professora dever ler a história para as crianças dando ênfase nas letras do alfabeto e associando a leitura à letra inicial do nome das crianças.",LETRAMENTO,Letramento
09 a 13 de fevereiro,"Bingo do nome

A professora dará a ficha do nome para que as crianças brinquem de bingo. 

Após o jogo, propor às crianças que realizem a cópia do nome e façam um autorretrato.",LETRAMENTO,Letramento
09 a 13 de fevereiro,"Dinâmica da lata na roda

A professora deverá providenciar uma lata com tampinhas identificadas com as letras do alfabeto. Faremos uma roda com as crianças e faremos a brincadeira de passar a lata cantando:

“Passa a lata pela roda, sem a roda desmanchar, quem ficar com a lata, uma letra vai tirar.”

A criança que ficar com a lata deve tirar uma letra e toda a turma tenta dizer uma palavra iniciada com a letra sorteada.",LETRAMENTO,Letramento
09 a 13 de fevereiro,"Capa do caderno de atividades 

Realizar o desenho da capa do caderno de atividades.",LETRAMENTO,Letramento
09 a 13 de fevereiro,"Matriz: calendário do mês de fevereiro 

Explorar datas comemorativas e aniversariantes do mês.",LETRAMENTO MATEMÁTICO,Letramento Matemático
09 a 13 de fevereiro,"Bingo de números do 1 ao 10 

A professora entregará para as crianças uma matriz com a cartela para que elas escolham 4 números para jogar o bingo.",LETRAMENTO MATEMÁTICO,Letramento Matemático
09 a 13 de fevereiro,"Brincadeira: Vamos brincar do número?

A professora deverá cantar:

“Vamos brincar do número, o número que eu falar...
O número que eu falar, você vai ter que encontrar...
Contar até 10 e depois voltar.”",LETRAMENTO MATEMÁTICO,Letramento Matemático
09 a 13 de fevereiro,"Registro da brincadeira: Vamos brincar do número?

Etiqueta impressa",LETRAMENTO MATEMÁTICO,Letramento Matemático
